ID,Blocks,Title,Subject
0,A,Free Block,Free
1,B,Free Block,Free
2,C,Free Block,Free
3,D,Free Block,Free
4,E,Free Block,Free
5,F,Free Block,Free
6,G,Free Block,Free
7,H,Free Block,Free
8,A;B;C;D;E;F;G;H,Free Block,Free
,,,
21130,A;B;C;D;E;G,English 9,English
21140,E;G,English 10,English
31196,A;F;G,AP English Language,English
21150,A;C;D;E,English 11,English
31195,A;B;C;D;F,AP English Literature,English
21160,A;C;D;E;F,English 12,English
21207,G,Journalism,English
26608,E,Capstone,English
21209,G,Yearbook,English
,,,
23130,B;G,Algebra I,Math
23145-A,E,AFDA - post Algebra 1,Math
23145-G,F,AFDA - post Geometry,Math
23143,C;D;E;F,Geometry,Math
23141,C;D;E;F,Geometry Intensified,Math
23135,B;C;E;F,Algebra II,Math
23136,B;C;E;F,Algebra II Intensified,Math
23136,G,Algebra II Intensified 9,Math
,F,Algebra III,Math
23162,A;G,Precalculus/Trig.,Math
23164,G,AP Precalculus,Math
33192,D;E,AP Statistics,Math
33177,A,AP Calculus AB,Math
33179,A;B,AP Calculus BC,Math
23195,C,Data Science,Math
93178W,A,Multivariable Calculus,Math
26639,E,Computer Science,Math
20187,G;H,Ind. Study (Comp Sci & Robotics),Math
,,,
22210,B,US History EL,History
22212,D; E; F; H,Economics & Pers. Finance,History
22216,A;B;D;E;F;H,World History,History
32399,A; C,AP Modern Europe,History
22360,E,VA/US History,History
32319,A; C; D; F,AP VA/US History,History
22440,B; D; F; G,US/VA Government,History
32445,B; D; F; G,AP US Gov.,History
32445-S,E,AP US Gov Seminar,History
22500,G,Sociology,History
32902,A; B,AP Psychology,History
32371,B,AP African American Studies,History
,,,
24210,A;B,Earth Science,Science
24310,A;C;D;E;F;G,Biology,Science
34370,F,AP Biology,Science
34371,G,AP Biology Lab,Science
24410,A;B;C;D,Chemistry,Science
34470,F,AP Chemistry,Science
34471,G,AP Chemistry Lab,Science
24500,D;E;F;G,Prin. of Physics,Science
24510,D;E;F;G,Physics,Science
34570,C,AP Physics (single block),Science
34270,B;C,AP Environmental Science,Science
24365,G,Ecology,Science
,,,
25110,D,French I,French
25120,A,French II,French
25130,F,French III,French
25140,G,French IV,French
25150,B,French V,French
35165,B,AP French Language and Culture,French
,,,
25510,D;F,Spanish I,Spanish
25520,A;B;G,Spanish II,Spanish
25530,A;F,Spanish III,Spanish
25540,C;E,Spanish IV,Spanish
25550,F,Spanish V,Spanish
25560,F,Advanced Studies in Spanish,Spanish
35565,B,AP Spanish Language and Culture,Spanish
,,,
25310,G,Latin I,Latin
25320,G,Latin II,Latin
25330,F,Latin III,Latin
25340,D,Latin IV,Latin
35350,B,AP Latin,Latin
,,,
25990,B,ASL I,ASL
25995,C,ASL II,ASL
25997,C,ASL III,ASL
25992,C,ASL IV,ASL
,,,
27300,A;B;C,PE 9,PE
27400,D;E;F,PE 10,PE
,,,
29263,B,Concert Choir,Music
29285,C,Camerata,Music
29289,D,Chamber Singers,Music
29225,A,Music Theory,Music
39226,A,AP Music Theory,Music
29251,PM,Jazz Band,Music
29234,D,Advanced Band (Wind. Ens.),Music
29244,E,String Orchestra,Music
29225,G;PM,Song Writing,Music
,,,
21400,B,Theatre I,Theatre
21415,B,Theatre II,Theatre
21425,B,Theatre III,Theatre
21430,PM,Directing,Theatre
21435,C;E,Technical Theatre,Theatre
,,,
21178,C,Filmaking,Art
21178,D,Film Directing,Art
21178,E,Film Analysis & Law,Art
29120,A;B,Art I,Art
29130,E,Art II,Art
29140,C,Art III,Art
29110,C;D,Art IV,Art
39149,D,AP Studio Art,Art
29167,A;B,Ceramics,Art
29193,D,Photo I,Art
29194,E,Photo II,Art
29195,E,Photo III,Art
29196,E,Photo Ind Study (Level IV),Art
,,,
20028-P,G;H,IS-Patti,IS
20028-S,B;E;G;H,IS-Steve,IS
20028-M,E;F;H,IS-Mike,IS
20028-V,B;C,IS-Virginia,IS
20028-R,D;F;H,IS-Rebecca,IS
20028-C,B;G;H,IS-Carolyn,IS
